role,title,city,state,description,posted_date,close_date,job_grade,salary_min,salary_max,employment_type,is_remote
data analyst,Data Analyst,Arlington,Virginia,"*PLEASE NOTE THAT THIS VACANCY ANNOUNCEMENT IS ONLY OPEN TO CURRENT UNITED STATES POSTAL SERVICE OFFICE OF INSPECTOR GENERAL, UNITED STATES POSTAL SERVICE, UNITED STATES POSTAL INSPECTION SERVICE AND POSTAL REGULATORY COMMISSION EMPLOYEES. OTHER APPLICANTS WILL NOT BE CONSIDERED.",2026-06-11,2026-06-22,GG,70623,158322,Full-Time,False
data analyst,Data Engineer,Washington,District of Columbia,"DDI Data Engineers solve critical data challenges by building optimal data pipelines, analyzing and transforming data, and delivering data to systems to advance CIA's intelligence mission.",2025-10-01,2026-09-30,GS,74584,156755,Full-Time,False
data analyst,Data Scientist,Woodlawn,Maryland,"IT Specialist (Data Scientist) positions are being filled through the Office of Personnel Management's delegated Direct Hire Authority, open to all U.S. citizens. Selections made under this bulletin will be processed as new appointments to the civil service. Current civil service employees would, therefore, be given new appointments to the civil service. Under the provisions of the Direct Hire Authority, Veterans Preference and the ""Rule of Many"" do not apply.",2026-02-06,2026-08-05,GS,143913,187093,Full-Time,False
data analyst,Data Scientist,Suitland,Maryland,"This vacancy is being filled via the Direct-Hire Authority (DHA) for a Data Scientist position in the Decennial Census Management Division located at the U.S. Census Bureau Headquarters in Suitland, Maryland. The Census Bureau is accessible from the Metro Rail Green Line - Suitland Station.",2026-06-04,2026-06-18,GG,102415,133142,Full-Time,False
data analyst,DATA SCIENTIST,Patuxent River,Maryland,"You will serve as a Data Scientist in the Analytics Group, Commander, Fleet Readiness Centers (COMFRC) in Patuxent River, Maryland.",2026-06-12,2026-06-16,GS,121785,158322,Full-Time,False
data analyst,Data Scientist,District of Columbia,District of Columbia,"As a Data Scientist with the US Office of Personnel Management, Healthcare and Insurance, you will develop and apply statistical models, machine learning methods, risk indicators, anomaly detection, automation, and visual analytics to support oversight, program integrity, fraud/risk detection, and data-driven decisions for federal benefits programs.",2026-06-11,2026-06-19,GS,143913,187093,Full-Time,False
data analyst,Data Scientist,Washington,District of Columbia,"This role requires paramount knowledge based on academic and experiential learning in the area of discipline of Data Science. The Data Scientist serves as a non-supervisory, technical expert in LGY's Business Insight and Data Solutions (BIDS) group ensuring authoritative data is prepared and available to stakeholders in support of data-informed decision making.",2026-06-12,2026-06-16,GS,143913,187093,Full-Time,False
data analyst,Medical Data Clerk,Richmond,Virginia,"The position is located in the Department of Veterans Affairs (VA), Veterans Health Administration (VHA), Mid-Atlantic Health Care Network (VISN 6), Central Virginia VA Health Care System (CVHCS), Richmond VA Medical Center within the Mental Health Service. The position has primary responsibility for the management of the PCMM software program for Mental Health Services at the CVHCS including the CBOCs and Fredericksburg Health Care Center.",2026-06-08,2026-06-15,GS,42552,55318,Full-Time,False
data analyst,Chief Data Scientist,Washington,District of Columbia,"The position of Chief Data Scientist is in the Office of the Chief Information Officer, Food Safety and Inspection Service, U.S. Department of Agriculture (USDA). The Office of the Chief Information Officer (OCIO) has primary responsibility for information technology and information management for FSIS.",2026-06-08,2026-06-29,SL,151661,228000,Full-Time,False
data analyst,IT SPECIALIST (DATAMGT),Scott AFB,Illinois,"This position is being filled under the memorandum from the Under Secretary of Defense for Personnel and Readiness (USD(P&R)) Memorandum, ""Direct Hire Authority for Certain Personnel of the Department of Defense,"" June 23,2023. This position is part of the Air Force Elements, U.S. Transportation Command, Transportation Command.",2026-06-02,2026-06-14,GS,109137,141880,Full-Time,False
data analyst,Research Data Scientist,Little Rock,Arkansas,"Please note: There is no pay associated with this position. This position serves as Without Compensation (WOC) Research Data Scientist within the Office of Research and Development (ORD). The VA Research Program strives to promote Veteran-centered care to improve patient experiences and outcomes across VA healthcare and community settings, and to advance value-driven care by providing Veterans the highest quality care at the lowest financial burden.",2026-06-09,2026-06-22,ZZ,0,0,Intermittent,False
data analyst,IT Specialist (DATAMGT),Macon,Georgia,"As an IT Specialist (Data Engineer) in OPM's Office of the Chief Information Officer, you would lead the design, development, and optimization of enterprise data systems and pipelines that support OPM's mission. You would develop modern, secure, and scalable data solutions to improve decision-making and compliance with Federal IT and data policies.",2026-06-10,2026-06-23,GS,89508,138370,Full-Time,False
data analyst,IT Specialist (DATAMGT),Arlington,Virginia,See below for important information regarding this job.,2026-06-10,2026-06-19,GS,121785,158322,Full-Time,False
